"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,      -5.500283611,      -2.375049794,      -3.134671302,    -0.03204440606,      -1.076919871,       3.375793179
          1,           0,           9,             0.003,       -6.21899739,      -2.672384444,      -3.619005824,     -0.7652413811,       -1.17637589,       2.497410401
          2,           0,           9,             0.006,      -6.572381533,      -2.853246653,      -3.678310007,      -1.133275805,      -1.395935903,       2.158819178
          3,           0,           9,             0.009,      -6.704557201,      -2.982954598,      -3.693392426,      -1.266978686,      -1.621730201,       1.909433715
          4,           0,           9,             0.012,      -6.763655792,      -3.079876057,      -3.703482013,      -1.327614562,      -1.809534289,       1.717265028
          5,           0,           9,             0.015,      -6.784818369,      -3.154045544,      -3.712849548,      -1.354096253,        -1.9571677,       1.567402227
          6,           0,           9,             0.018,      -6.794126203,      -3.212545302,      -3.722496746,      -1.376804315,      -2.076308535,       1.444811552
          7,           0,           9,             0.021,      -6.800791852,      -3.260809926,      -3.734734187,      -1.401716538,      -2.176739879,       1.341025277
          8,           0,           9,             0.024,      -6.808134694,      -3.302447348,       -3.74985474,      -1.427239142,      -2.264295831,        1.25098003
          9,           0,           9,             0.027,      -6.818613152,      -3.339936882,      -3.766295648,      -1.454808037,      -2.342338397,       1.171472619
